date,currency_pair,close_price
2002-09-25,GBPUSD,0.64
2002-09-25,HKDUSD,7.8
2002-09-25,INRUSD,48.43
2002-09-25,JPYUSD,122.72
2002-09-25,KRWUSD,1235.0
2002-09-25,LKRUSD,96.3
2002-09-25,MXNUSD,10.255
2002-09-25,MYRUSD,3.8
2002-09-25,NOKUSD,7.475
2002-09-25,NZDUSD,2.1268
2002-09-25,SEKUSD,9.3053
2002-09-25,SGDUSD,1.7838
2002-09-25,THBUSD,43.45
2002-09-25,TWDUSD,34.9
2002-09-25,ZARUSD,10.59
2002-09-26,AUDUSD,1.8372
2002-09-26,BRLUSD,3.77
2002-09-26,CADUSD,1.5769
2002-09-26,CHFUSD,1.5029
2002-09-26,CNYUSD,8.2772
2002-09-26,DKKUSD,7.611
2002-09-26,EURUSD,1.0251
2002-09-26,GBPUSD,0.6425
2002-09-26,HKDUSD,7.7998
2002-09-26,INRUSD,48.43
2002-09-26,JPYUSD,122.59
2002-09-26,KRWUSD,1228.6
2002-09-26,LKRUSD,96.35
2002-09-26,MXNUSD,10.149
2002-09-26,MYRUSD,3.8
2002-09-26,NOKUSD,7.51
2002-09-26,NZDUSD,2.1263
2002-09-26,SEKUSD,9.371
2002-09-26,SGDUSD,1.7845
2002-09-26,THBUSD,43.452
2002-09-26,TWDUSD,34.98
2002-09-26,ZARUSD,10.57
2002-09-27,AUDUSD,1.8382
2002-09-27,BRLUSD,3.835
2002-09-27,CADUSD,1.5777
2002-09-27,CHFUSD,1.5008
2002-09-27,CNYUSD,8.2773
2002-09-27,DKKUSD,7.602
2002-09-27,EURUSD,1.0233
2002-09-27,GBPUSD,0.6432
2002-09-27,HKDUSD,7.7997
2002-09-27,INRUSD,48.4
2002-09-27,JPYUSD,122.86
2002-09-27,KRWUSD,1227.9
2002-09-27,LKRUSD,96.4
2002-09-27,MXNUSD,10.165
2002-09-27,MYRUSD,3.8
2002-09-27,NOKUSD,7.5
2002-09-27,NZDUSD,2.1249
2002-09-27,SEKUSD,9.304
2002-09-27,SGDUSD,1.779
2002-09-27,THBUSD,43.47
2002-09-27,TWDUSD,34.92
2002-09-27,ZARUSD,10.55
2002-09-30,AUDUSD,1.842
2002-09-30,BRLUSD,3.803
2002-09-30,CADUSD,1.5863
2002-09-30,CHFUSD,1.4758
2002-09-30,CNYUSD,8.2774
2002-09-30,DKKUSD,7.52
2002-09-30,EURUSD,1.0122
2002-09-30,GBPUSD,0.6369
2002-09-30,HKDUSD,7.7998
2002-09-30,INRUSD,48.4
2002-09-30,JPYUSD,121.74
2002-09-30,KRWUSD,1227.7
2002-09-30,LKRUSD,96.4
2002-09-30,MXNUSD,10.212
2002-09-30,MYRUSD,3.8
2002-09-30,NOKUSD,7.41
2002-09-30,NZDUSD,2.1286
2002-09-30,SEKUSD,9.274
2002-09-30,SGDUSD,1.778
2002-09-30,THBUSD,43.29
2002-09-30,TWDUSD,34.92
2002-09-30,ZARUSD,10.535
2002-10-01,AUDUSD,1.8443
2002-10-01,BRLUSD,3.692
2002-10-01,CADUSD,1.5863
2002-10-01,CHFUSD,1.4793
2002-10-01,CNYUSD,8.2774
2002-10-01,DKKUSD,7.5345
2002-10-01,EURUSD,1.0143
2002-10-01,GBPUSD,0.6366
2002-10-01,HKDUSD,7.7995
2002-10-01,INRUSD,48.39
2002-10-01,JPYUSD,122.73
2002-10-01,KRWUSD,1227.5
2002-10-01,LKRUSD,96.4
2002-10-01,MXNUSD,10.162
2002-10-01,MYRUSD,3.8
2002-10-01,NOKUSD,7.425
2002-10-01,NZDUSD,2.1231
2002-10-01,SEKUSD,9.219
2002-10-01,SGDUSD,1.7887
2002-10-01,THBUSD,43.48
2002-10-01,TWDUSD,34.91
2002-10-01,ZARUSD,10.42
2002-10-02,AUDUSD,1.8376
2002-10-02,BRLUSD,3.581
2002-10-02,CADUSD,1.5855
2002-10-02,CHFUSD,1.4836
2002-10-02,CNYUSD,8.2774
2002-10-02,DKKUSD,7.545
2002-10-02,EURUSD,1.0161
2002-10-02,GBPUSD,0.6388
2002-10-02,HKDUSD,7.7997
2002-10-02,INRUSD,48.39
2002-10-02,JPYUSD,123.21
2002-10-02,KRWUSD,1230.4
2002-10-02,LKRUSD,96.4
2002-10-02,MXNUSD,10.11
2002-10-02,MYRUSD,3.8
2002-10-02,NOKUSD,7.428
2002-10-02,NZDUSD,2.1084
2002-10-02,SEKUSD,9.221
2002-10-02,SGDUSD,1.7867
2002-10-02,THBUSD,43.53
2002-10-02,TWDUSD,34.97
2002-10-02,ZARUSD,10.4275
2002-10-03,AUDUSD,1.8298
2002-10-03,BRLUSD,3.665
2002-10-03,CADUSD,1.5903
2002-10-03,CHFUSD,1.4794
2002-10-03,CNYUSD,8.2774
2002-10-03,DKKUSD,7.524
2002-10-03,EURUSD,1.0131
2002-10-03,GBPUSD,0.6368
2002-10-03,HKDUSD,7.7999
2002-10-03,INRUSD,48.38
2002-10-03,JPYUSD,123.04
2002-10-03,KRWUSD,1230.4
2002-10-03,LKRUSD,96.4
2002-10-03,MXNUSD,10.131
2002-10-03,MYRUSD,3.8
2002-10-03,NOKUSD,7.401
2002-10-03,NZDUSD,2.0934
2002-10-03,SEKUSD,9.198
2002-10-03,SGDUSD,1.7848
2002-10-03,THBUSD,43.57
2002-10-03,TWDUSD,34.99
2002-10-03,ZARUSD,10.395
2002-10-04,AUDUSD,1.8312
